   RXTXRobot API version 4.5.5
---------------------------------

Connecting to robot, please wait...

--> Most recent version from website: 4.5.5
--> You are on the most up-to-date version of the API! (version 4.5.5)
Connected!


Firmware version: 4.5.2
API version: 4.5.5
0.0 0.0 0.0 -0.0
0.039565 0.0 6.1E-5 -8.4E-5
0.039565 0.0 6.1E-5 -8.4E-5
0.039565 0.0 6.1E-5 -8.4E-5
0.039565 0.0 6.1E-5 -8.4E-5
0.039565 0.0 6.1E-5 -8.4E-5
0.039565 0.0 6.1E-5 -8.4E-5
0.039565 0.0 6.1E-5 -8.4E-5
0.039565 0.0 6.1E-5 -8.4E-5
0.039565 0.0 6.1E-5 -8.4E-5
0.039565 0.0 6.1E-5 -8.4E-5
0.039565 0.0 6.1E-5 -8.4E-5
0.039565 0.0 6.1E-5 -8.4E-5
0.039565 0.0 6.1E-5 -8.4E-5
0.039565 0.0 6.1E-5 -8.4E-5
0.039565 0.0 6.1E-5 -8.4E-5
0.039565 0.0 6.1E-5 -8.4E-5
0.039565 0.0 6.1E-5 -8.4E-5
0.039565 0.0 6.1E-5 -8.4E-5
0.039565 0.0 6.1E-5 -8.4E-5
0.039565 0.0 6.1E-5 -8.4E-5
0.039565 0.0 6.1E-5 -8.4E-5
0.039565 0.0 6.1E-5 -8.4E-5
0.039565 0.0 6.1E-5 -8.4E-5
0.039565 0.0 6.1E-5 -8.4E-5
0.039565 0.0 6.1E-5 -8.4E-5
0.039565 0.0 6.1E-5 -8.4E-5
0.039565 0.0 6.1E-5 -8.4E-5
0.039565 0.0 6.1E-5 -8.4E-5
0.039565 0.0 6.1E-5 -8.4E-5
0.039565 0.0 6.1E-5 -8.4E-5
0.039565 0.0 6.1E-5 -8.4E-5
0.039565 0.0 6.1E-5 -8.4E-5
0.039565 0.0 6.1E-5 -8.4E-5
0.039565 0.0 6.1E-5 -8.4E-5
0.039565 0.0 6.1E-5 -8.4E-5
0.039565 0.0 6.1E-5 -8.4E-5
0.039565 0.0 6.1E-5 -8.4E-5
0.039565 0.0 6.1E-5 -8.4E-5
0.039565 0.0 6.1E-5 -8.4E-5
0.039565 0.0 6.1E-5 -8.4E-5
0.039565 0.0 6.1E-5 -8.4E-5
0.039565 0.0 6.1E-5 -8.4E-5
0.039565 0.0 6.1E-5 -8.4E-5
0.039565 0.0 6.1E-5 -8.4E-5
0.039565 0.0 6.1E-5 -8.4E-5
0.039565 0.0 6.1E-5 -8.4E-5
0.039565 0.0 6.1E-5 -8.4E-5
1.646395 -0.495222 -1.466675 0.236023
0.0 -0.018059 -0.223022 2.310783
0.068528 -0.003401 -0.012451 0.553177
0.0 -0.017868 -0.585876 2.297562
6.227939 -0.474144 -1.5755 -0.909401
5.996723 0.492927 2.31189 -0.911674
0.0 -0.505714 -1.629456 2.527313
0.0 0.482217 1.740723 0.278175
1.369165 -0.489307 -1.764343 1.346436
0.497322 -0.002473 0.356262 0.53653
0.421973 -0.002363 0.356567 0.537964
0.0 -0.010559 -0.198975 1.694626
2.602637 0.055714 0.171417 1.241737
0.0 0.305092 1.438812 0.614418
0.0 -0.016015 -2.3E-5 1.994148
0.0 -0.006844 -0.186401 1.658257
