   RXTXRobot API version 4.5.5
---------------------------------

Connecting to robot, please wait...

--> Most recent version from website: 4.5.5
--> You are on the most up-to-date version of the API! (version 4.5.5)
Connected!


Firmware version: 4.5.2
API version: 4.5.5
0.0 0.0 0.0 -0.0
0.149353 0.0 6.1E-5 3.8E-5
0.149353 0.0 6.1E-5 3.8E-5
1.001516 -0.495345 -1.832764 0.266106
0.0 0.495427 1.830566 -0.2826
0.149353 0.0 6.1E-5 3.8E-5
1.001516 -0.495345 -1.832764 0.266106
0.0 -2.7E-5 -1.22E-4 -6.64E-4
0.0 0.495427 1.830566 -0.2826
1.001516 -0.495345 -1.832764 0.266106
0.0 -2.7E-5 -1.22E-4 -6.64E-4
0.0 0.495427 1.830566 -0.2826
1.001516 -0.495345 -1.832764 0.266106
0.0 0.495427 1.830566 -0.2826
1.001516 -0.495345 -1.832764 0.266106
0.0 0.495427 1.830566 -0.2826
0.149353 0.0 6.1E-5 3.8E-5
1.001516 -0.495345 -1.832764 0.266106
0.0 0.495427 1.830566 -0.2826
1.001516 -0.495345 -1.832764 0.266106
0.0 0.495427 1.830566 -0.2826
0.149353 0.0 6.1E-5 3.8E-5
1.001516 -0.495345 -1.832764 0.266106
0.0 -2.7E-5 -1.22E-4 -6.64E-4
0.0 -2.7E-5 -1.22E-4 -6.64E-4
0.0 -2.7E-5 -1.22E-4 -6.64E-4
0.0 -2.7E-5 -1.22E-4 -6.64E-4
0.0 -2.7E-5 -1.22E-4 -6.64E-4
0.0 -2.7E-5 -1.22E-4 -6.64E-4
0.0 -2.7E-5 -1.22E-4 -6.64E-4
0.0 0.495427 1.830566 -0.2826
1.001516 -0.495345 -1.832764 0.266106
0.0 0.495427 1.830566 -0.2826
1.001516 -0.495345 -1.832764 0.266106
0.0 -2.7E-5 -1.22E-4 -6.64E-4
0.0 -2.7E-5 -1.22E-4 -6.64E-4
0.0 0.495427 1.830566 -0.2826
1.001516 -0.495345 -1.832764 0.266106
0.0 -2.7E-5 -1.22E-4 -6.64E-4
0.0 0.495427 1.830566 -0.2826
1.001516 -0.495345 -1.832764 0.266106
0.0 -2.7E-5 -1.22E-4 -6.64E-4
0.0 -2.7E-5 -1.22E-4 -6.64E-4
0.0 0.495427 1.830566 -0.2826
1.001516 -0.495345 -1.832764 0.266106
0.0 -2.7E-5 -1.22E-4 -6.64E-4
0.0 -2.7E-5 -1.22E-4 -6.64E-4
0.0 -2.7E-5 -1.22E-4 -6.64E-4
0.0 -2.7E-5 -1.22E-4 -6.64E-4
0.0 -0.003647 0.181152 1.75219
6.040336 0.492873 1.622803 -0.912056
0.985364 -0.496192 -1.826233 1.925026
0.0 0.485031 1.963257 2.003456
6.155238 -0.482012 -1.944275 -0.357887
0.0 -0.003593 0.181458 1.720284
0.351102 -0.001612 0.359253 1.090904
0.742305 -0.482586 -1.366943 0.814911
0.142653 1.4E-5 -6.1E-5 1.087639
0.0 0.480127 1.531555 0.865303
2.317481 0.014705 0.028931 0.196953
0.234068 -0.475059 -1.323975 1.364197
0.0 0.001571 0.005493 1.081017
0.680413 0.473433 1.663086 0.246147
5.836404 0.001639 1.22E-4 0.005583
